Hero,Damage,Kills,Position
Loba,1373,7,1
Mirage,89,0,20
Loba,65,0,17
Mirage,210,0,12
Mirage,85,0,18
Mirage,160,0,15
Mirage,458,1,2
Mirage,637,2,4
Mirage,406,3,8
Caustic,216,0,3
